"Тип індексу","Індексів","Рядків","Час, мс","Рядків/сек","Уповільнення, %"
None,0,100000,594.97,168076,0.0
BRIN,2,100000,654.90,152695,10.1
Partial,2,100000,842.61,118679,41.6
Hash,2,100000,925.68,108029,55.6
GIN,2,100000,1409.03,70971,136.8
B-tree,3,100000,1521.82,65711,155.8
Multi,7,100000,2702.15,37008,354.2
BRIN,2,500000,3166.20,157918,0.0
Partial,2,500000,4225.17,118338,33.4
None,0,500000,4871.63,102635,53.9
Hash,2,500000,5747.51,86994,81.5
GIN,2,500000,6782.39,73720,114.2
B-tree,3,500000,8288.89,60322,161.8
Multi,7,500000,13136.70,38061,314.9
BRIN,2,1000000,5818.35,171870,0.0
None,0,1000000,7481.80,133658,28.6
Hash,2,1000000,9644.59,103685,65.8
Partial,2,1000000,9679.07,103316,66.4
GIN,2,1000000,13228.22,75596,127.4
B-tree,3,1000000,17830.71,56083,206.5
Multi,7,1000000,27198.16,36767,367.5
