"Тип індексу","Індексів","Рядків","Час, мс","Рядків/сек","Уповільнення, %"
BRIN,2,100000,706.08,141627,0.0
Partial,2,100000,839.53,119114,18.9
None,0,100000,886.53,112799,25.6
Hash,2,100000,974.92,102573,38.1
GIN,2,100000,1400.50,71403,98.3
B-tree,3,100000,1782.05,56115,152.4
Multi,7,100000,2782.32,35941,294.1
BRIN,2,500000,2793.51,178986,0.0
None,0,500000,3850.01,129870,37.8
Partial,2,500000,3989.50,125329,42.8
Hash,2,500000,4864.81,102779,74.1
GIN,2,500000,7072.67,70695,153.2
B-tree,3,500000,8820.02,56689,215.7
Multi,7,500000,13367.29,37405,378.5
None,0,1000000,6845.25,146087,0.0
BRIN,2,1000000,6886.61,145209,0.6
Partial,2,1000000,8621.99,115983,26.0
Hash,2,1000000,9591.86,104255,40.1
GIN,2,1000000,12446.88,80341,81.8
B-tree,3,1000000,19525.23,51216,185.2
Multi,7,1000000,28179.82,35486,311.7
